Laminar,,Turbulent,,Inviscid theory,
X,Y,X,Y,X,Y
0,1.0000000000000002,3.735248436354482,0.8457026386700282,3.6158156004086948,0.8356328854572763
34.03842331897978,-0.00006624710168923187,12.28070606316551,0.6898448473864269,11.23523155695598,0.6502134984627692
44.785955614441875,-0.5710102683007618,15.669704143315926,0.5193452779892636,16.646255359889636,0.4445595187858937
54.226565087777416,-1.007287181185823,22.176832856601578,0.3517614263286206,21.576992944229914,0.25984713072912635
68.8626697581981,-1.2380390857899966,27.437445482085224,0.07823883561439748,25.75158454899791,0.05120317260092477
90.68923484597549,-1.0053262669758194,32.09947003615069,-0.15324737112875209,29.692325046395652,-0.14919366387309552
83.73726399470026,-1.0554090758529315,36.719784204279605,-0.37593568975095115,33.77259533457055,-0.3834648903973461
135.00894335872812,-0.9844981782047038,40.78908225425833,-0.5868060736515592,37.40165422642896,-0.5726577883450479
179.7722424643922,-0.9947797283868831,43.79989813722783,-0.7765306190404222,40.44706144191808,-0.8084724961091165
21.876647896654518,0.5195230208678372,47.703978959326506,-0.9508117299444736,44.289353637011246,-1.0416500428791169
10.518582312023838,0.8322093408413382,49.01974689977173,-1.1906731058446178,48.150482696347794,-1.2421770249606374
112.84610798277576,-1.0000794965220274,52.086518870376736,-1.4113385894553026,51.17919360034848,-1.5069320059713136
162.68565750248428,-1.0115269956939388,54.70275749023308,-1.6032568799430096,54.23127934043298,-1.7311706044367408
148.3858231202385,-0.9979065915866183,57.76820027950832,-1.8043432598111502,56.91707369309442,-1.900999205942274
121.6141768797615,-1.0020934084133821,61.720885061278565,-1.9840366700395218,59.972755561807176,-2.119004514785354
100.8476979132163,-0.9973236170917525,73.48299049151966,-2.137976298717503,63.42760770825866,-2.3344297440411634
60.142298774428625,-1.1533487909903943,82.26585747303194,-2.0792717042788778,66.49176616588095,-2.5377422987744285
49.74296124544553,-0.7788671745611127,91.13886118509713,-1.8643301102152123,70.35888877293125,-2.7278804648187047
39.40920834713481,-0.29070553163299095,97.99188364104963,-1.7041140176144682,80.05353782210385,-2.959751662821699
28.649751573368675,0.25956939383902,102.11758502089505,-1.446048977480523,88.09597592994471,-3.0027741415204736
,,105.42319782927306,-1.2308406575705462,96.87604073330509,-2.948926655878481
,,108.32580639208906,-1.0248579614748397,103.82024917985181,-2.768517859946367
,,112.2539585365743,-0.879439906467562,108.20403272425325,-2.6145624560432323
,,115.14870753330665,-0.6214314041079687,117.61689940876731,-2.1531734448946627
,,122.17317102930919,-0.459471585727091,120.78911296945826,-1.939418798144477
,,130.94763147636576,-0.4153383176783647,123.43928852427776,-1.7114432702473379
,,139.90528876800488,-0.39832138659980565,125.14539469206441,-1.5114528533897187
,,155.61838154948094,-0.39023910418738605,130.9896174456751,-1.0318777060352926
,,164.37042457132225,-0.38496270651172715,133.9040228325627,-0.8054471815488209
,,173.11592917747583,-0.39101956269487914,171.10867058855558,0.9549376959621028
,,,,179.50361881599184,1.0305648518288282
,,,,162.3207684663796,0.7559986750579661
,,,,152.39721762172906,0.3551772109970184
,,,,144.28976482278904,-0.0977409738323951
,,,,138.9929115601193,-0.47895329579330914
