15.2,0.251,21.3,85,6.30E+04,0.48276403
26.9,0.849,21.3,85,1.12E+05,0.52137654
44,2.17,21.3,85,1.83E+05,0.49808417
13.3,0.21,21.3,85,5.52E+04,0.5275509
25.3,0.786,21.3,85,1.05E+05,0.54566973
42.9,2.2,21.3,85,1.78E+05,0.53119803
12.4,0.18,20.3,83.8,5.14E+04,0.52020856
25.5,0.828,20.3,83.8,1.06E+05,0.56584611
43.1,2.01,20.3,83.8,1.79E+05,0.48082814
12.97,0.211,21.4,85.4,5.38E+04,0.55737933
25.46,0.774,21.4,85.4,1.06E+05,0.53060644
43.67,2.09,21.4,85.4,1.81E+05,0.48699921
12.3,0.186,21,84.6,5.10E+04,0.546325
25.6,0.754,21,84.6,1.06E+05,0.51125759
43.2,2.1,21,84.6,1.79E+05,0.50003472
8.19,0.0984,17.1,85.3,3.40E+04,0.651892
22.3,0.561,17.1,85.3,9.25E+04,0.50130437
41.7,1.6,17.1,85.3,1.73E+05,0.40888034
3.87,0.023,19.1,85.3,1.61E+04,0.68242395
17.3,0.376,19.1,85.3,7.18E+04,0.55826962
39.2,1.645,19.1,85.3,1.63E+05,0.47570983
