14.4,0.251,21.3,85,5.81E+04,0.56810083
25.8,0.849,21.3,85,1.04E+05,0.59861137
43.6,1.37,21.3,85,1.76E+05,0.33823946
12.2,0.122,21.3,85,4.92E+04,0.38469528
24.8,0.499,21.3,85,1.00E+05,0.38077977
42.1,1.66,21.3,85,1.70E+05,0.43956245
12.3,0.132,20.3,83.8,4.96E+04,0.40948726
24.9,0.465,20.3,83.8,1.01E+05,0.3519905
43.5,1.29,20.3,83.8,1.76E+05,0.31995425
12.3,0.128,21,84.6,4.96E+04,0.39707855
25.5,0.392,21,84.6,1.03E+05,0.28293221
43.4,1.192,21,84.6,1.75E+05,0.29701165
11.2,0.11,19.8,86.4,4.52E+04,0.41156016
24.4,0.57,19.8,86.4,9.85E+04,0.4493367
43.1,1.28,19.8,86.4,1.74E+05,0.32339412
8.28,0.0573,17.1,85.3,3.34E+04,0.39225694
22.1,0.299,17.1,85.3,8.92E+04,0.28731833
42.6,0.93,17.1,85.3,1.72E+05,0.24051404
3.4,0.0139,19.1,85.3,1.37E+04,0.56433067
17.1,0.255,19.1,85.3,6.90E+04,0.40928388
39,1.2,19.1,85.3,1.57E+05,0.37027869
