0.01,13.46,0.738,19,0.2153,510,0.3445,0.1256,60.0,41.7
0.0895,29.3,4.219,20,0.0728,2152,0.3161,0.0297,334.0,59.2
0.036,10.44,5.2,19,0.0704,2366,0.3153,0.0271,347.7,61.6
0.235,56.45,8.65,19,0.0804,2856,0.3139,0.0224,290.6,72.1
