0.19,19.5,0.05,20.2,0.0562,1880,0.0671,0.0340,19.4,39.5
0.42,31.83,0.157,22.1,0.0963,2658,0.0629,0.0241,34.6,75.0
0.98,16.6,2.58,22.1,0.0790,11892,0.0541,0.0054,31.6,93.2
0.99,12.16,5.02,22.1,0.0809,16400,0.0533,0.0039,34.1,95.2
